1693163123.193046,0
1693163123.296914,17
1693163123.401400,19
1693163123.505968,20
1693163123.611871,18
1693163123.718018,15
1693163123.823643,18
1693163123.932154,20
1693163124.037308,12
1693163124.142907,12
1693163124.247002,17
1693163124.351829,11
1693163124.456675,18
1693163124.562682,15
1693163124.667144,15
1693163124.772994,20
1693163124.878208,18
1693163124.983939,12
1693163125.089380,18
1693163125.194402,14
1693163125.301538,17
1693163125.406198,4
1693163125.511035,6
1693163125.617736,9
1693163125.723368,11
1693163125.827790,13
1693163125.932146,15
1693163126.037168,16
1693163126.142197,16
1693163126.246817,18
1693163126.352182,20
1693163126.456321,19
1693163126.562246,9
1693163126.667247,12
1693163126.772184,13
1693163126.876681,15
1693163126.983103,16
1693163127.088473,19
1693163127.193948,20
1693163127.300464,19
1693163127.405530,13
1693163127.510614,12
1693163127.616511,15
1693163127.722887,15
1693163127.828079,16
1693163127.932249,19
1693163128.039739,19
1693163128.144342,20
1693163128.251817,17
1693163128.356667,11
1693163128.461581,13
1693163128.567948,14
1693163128.672707,16
1693163128.777456,17
1693163128.883201,18
1693163128.988622,19
1693163129.093885,20
1693163129.198958,10
1693163129.304280,6
1693163129.410897,10
1693163129.516574,11
1693163129.622079,13
1693163129.727549,15
1693163129.833068,15
1693163129.936991,16
1693163130.041202,18
1693163130.146347,19
1693163130.251117,20
1693163130.355439,14
1693163130.459849,19
1693163130.566073,19
1693163130.670415,16
1693163130.776091,20
1693163130.880451,13
1693163130.985640,20
1693163131.091681,17
1693163131.199484,11
1693163131.303669,15
1693163131.408984,19
1693163131.514730,5
1693163131.618763,7
1693163131.722600,8
1693163131.827513,11
1693163131.933003,12
1693163132.037285,15
1693163132.142942,17
1693163132.247965,18
1693163132.352874,18
1693163132.459038,20
1693163132.564958,19
1693163132.670896,8
1693163132.776048,11
1693163132.880102,12
1693163132.986349,15
1693163133.091938,16
1693163133.197355,17
1693163133.302920,18
1693163133.408666,19
1693163133.514693,18
1693163133.619642,11
1693163133.724619,13
1693163133.829545,15
1693163133.934703,15
1693163134.041007,17
1693163134.147312,18
1693163134.252145,19
1693163134.356240,17
1693163134.461473,10
1693163134.565529,11
1693163134.669757,13
1693163134.775172,15
1693163134.883154,17
1693163134.988886,18
1693163135.093540,20
1693163135.197959,18
1693163135.303592,10
1693163135.408983,11
1693163135.513524,14
1693163135.618188,14
1693163135.724004,16
1693163135.830005,17
1693163135.938689,18
1693163136.048334,19
1693163136.152371,20
1693163136.257958,11
1693163136.364185,14
1693163136.469549,15
1693163136.575596,19
1693163136.681834,13
1693163136.787694,18
1693163136.893352,11
1693163137.000318,12
1693163137.106453,20
1693163137.211241,11
1693163137.316358,19
1693163137.420517,17
1693163137.525339,20
1693163137.632032,19
1693163137.738611,12
1693163137.844834,16
1693163137.949956,9
1693163138.057040,11
1693163138.162356,11
1693163138.267347,13
1693163138.371546,15
1693163138.475772,15
1693163138.580110,17
1693163138.685125,19
1693163138.790048,19
1693163138.914623,9
1693163139.018736,11
1693163139.124660,13
1693163139.230536,16
1693163139.334786,17
1693163139.440945,18
1693163139.546012,19
1693163139.650826,19
1693163139.755060,10
1693163139.860039,10
1693163139.964914,13
1693163140.070225,14
1693163140.175511,17
1693163140.280187,16
1693163140.385039,18
1693163140.489828,19
1693163140.595141,18
1693163140.699990,11
1693163140.804449,12
1693163140.909769,14
1693163141.014044,16
1693163141.118471,17
1693163141.223365,18
1693163141.328717,18
1693163141.433846,19
1693163141.538536,9
1693163141.643414,12
1693163141.748155,13
1693163141.852834,14
1693163141.956942,16
1693163142.062021,18
1693163142.167768,18
